log10c0,deltaE,Omega,delta_Omega2,max_batches,environment_type,tf,id
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,1
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,2
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,3
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,4
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,5
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,6
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,7
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,8
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,9
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,10
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,11
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,12
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,13
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,14
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,15
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,16
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,17
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,18
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,19
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,20
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,21
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,22
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,23
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,24
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,25
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,26
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,27
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,28
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,29
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,30
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,31
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,32
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,33
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,34
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,35
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,36
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,37
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,38
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,39
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,40
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,41
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,42
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,43
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,44
2,[0;0.05],[0;0.002508237448117671],0.00125411872405884,300000,stochastic-Omega,92.0176177196183,45
